12.8,1008.83
37.4,1005.66
136.2,994.07
568.8,948.75
860.3,919.17
913.2,913.04
1123.2,891.00
1139.1,889.32
1163.4,886.82
1187.5,883.97
1212.5,881.21
1237.7,878.54
1261.8,876.06
1285.9,873.25
1312.0,870.67
1336.8,868.16
1363.3,865.98
1387.2,863.36
1404.0,861.51
1446.8,857.69
1464.0,856.01
1491.4,854.85
1513.4,850.91
1535.3,848.03
1554.0,846.60
1594.2,843.19
1622.3,838.47
1635.8,836.83
1660.5,832.59
1692.8,826.56
1703.3,826.10
1764.4,823.20
1786.0,822.43
1821.3,820.15
1836.5,818.55
1859.5,815.00
1877.3,813.86
1915.8,810.96
1938.1,808.93
1958.2,807.18
1986.2,803.51
2013.2,801.23
2036.5,800.05
2066.6,795.67
2088.3,793.33
2111.1,791.45
2128.2,790.09
2167.9,786.38
2183.3,785.01
2210.2,782.40
2242.0,779.52
2261.9,777.54
2286.8,775.04
2313.2,773.02
2333.8,771.01
2362.4,768.33
2392.3,765.41
2410.2,763.76
2440.9,761.21
2462.7,759.54
2489.0,757.23
2513.1,755.50
2540.4,752.93
2561.4,751.29
2582.9,750.09
